Order,Link,,,Name,Phone,Address,Email
1724680915-3,https://targetstudy.com/colleges/btech-information-technology-degree-colleges-in-noida.html,,,Galgotias College of Engineering and Technology - GCET - Courses,(0120) 437000,"1, Knowledge Park, Phase II, Noida, Uttar Pradesh 201306, India",
1724680918-4,https://targetstudy.com/colleges/btech-information-technology-degree-colleges-in-noida.html,,,Deshwal Institute of Information Technology and Management - DIITM - Courses,"(0120) 4230301, 4230302, 4240550 / phone_iphone 9811315485, 9899237056","C-56/21, Institutional Area, Sector 62,  Noida, Uttar Pradesh 201309, India",
1724680921-5,https://targetstudy.com/colleges/btech-information-technology-degree-colleges-in-noida.html,,,Assayer Institute of Innovative Education - Courses,"phone_iphone 9953272966, 9811123165","Shop No. 19, 2nd Floor, C Block Market, Near Ever Green Sweets, Sector 41, G.B. Nagar,  Noida, Uttar Pradesh 201303, India",
1724680923-6,https://targetstudy.com/colleges/btech-information-technology-degree-colleges-in-noida.html,,,Amity University - Noida,"(0120) 4392000, 2445252, 4713600 / phone_iphone 8448396303","Sector 125,  Noida, Uttar Pradesh 201313, India",
1724680926-7,https://targetstudy.com/colleges/btech-information-technology-degree-colleges-in-noida.html,,,Amity School of Engineering and Technology - ASET,"(0120) 2445252, 4713600 / phone_iphone 9999579991","Amity University Campus, Sector 125,  Noida, Uttar Pradesh 201303, India",
1724680930-8,https://targetstudy.com/colleges/btech-information-technology-degree-colleges-in-noida.html,,,Alpine College of Engineering - ACE - Courses,"(0120) 3265001, 3107996 / phone_iphone 9717772792, 9717772793, 9717772794, 9717772795","45th K.M. Stone, NH-91, Delhi-Kanpur, G.T. Road, Phase 2nd, Noida, Uttar Pradesh 201301, India",
1724681834-1,https://targetstudy.com/colleges/computer-and-it-colleges-in-varanasi.html,,,Indian Institute of Technology BHU - IIT Varanasi,"call
                  
                    (0542) 2307002, 2367780, 6701808","location_on
                
                  
                   Banaras Hindu University,  Varanasi, Uttar Pradesh 221005, India",
1724681836-4,https://targetstudy.com/colleges/computer-and-it-colleges-in-varanasi.html,,,Dr. Ghanshyam Singh Post Graduate College - Courses,"call
                    
                      phone_iphone 8004045332","location_on
                
                  
                  Soyepur, Lalpur, Azamgarh Road,  Varanasi, Uttar Pradesh 221010, India",
1724681363-6,https://targetstudy.com/colleges/engineering-colleges-in-lucknow.html,,,Babu Banarasidas National Institute of Technology and Management - NITM - Courses,"(0522) 6196300, 6196301, 6196302, 6196315","BBD City, Faizabad Road, Lucknow, Uttar Pradesh 226028, India",
1724681366-7,https://targetstudy.com/colleges/engineering-colleges-in-lucknow.html,,,Babu Banarasi Das University - BBDU,"(0522) 6196300, 6196301, 6196222, 6196223","BBD City, Faizabad Road,  Lucknow, Uttar Pradesh 226028, India",
1724681369-8,https://targetstudy.com/colleges/engineering-colleges-in-lucknow.html,,,Babasaheb Bhimrao Ambedkar University - BBAU,(0522) Toll Free No. 1800-180-5789,"Vidya Vihar, Raebareli Road,  Lucknow, Uttar Pradesh 226025, India",
1724681371-9,https://targetstudy.com/colleges/engineering-colleges-in-lucknow.html,,,Azad Institute of Engineering and Technology - AIET - Courses,"(0522) 2817608, 3298311, 2817609","Azad Technical Campus, Azadpuram, Chandrawal Via Bangla Bazar and Bijnour, Near CRPF Camp,  Lucknow, Uttar Pradesh 226002, India",
1724681374-10,https://targetstudy.com/colleges/engineering-colleges-in-lucknow.html,,,Azad Institute of Aeronautics and Engineering - AIAE - Courses,"phone_iphone 8175901888, 8175902888","Azadpuram, Bangla Bazar Road, Near CRPF Group Centre, Lucknow, Uttar Pradesh 226002, India",
1724681376-11,https://targetstudy.com/colleges/engineering-colleges-in-lucknow.html,,,Awadh Institute of Technology - AIT - Courses,"(0522) 2817739, 2817740","Azadpuram, Adjacent to CRPF Camp, Post Chandrawal, Lucknow, Uttar Pradesh 226002, India",
1724681379-12,https://targetstudy.com/colleges/engineering-colleges-in-lucknow.html,,,Asia School of Engineering and Management - Courses,"(05240) 273915 / phone_iphone 8853883300, 8853884411","12, Milestone, Kursi Road, Near Integral University, Rasoolpur Sadat, Lucknow, Uttar Pradesh 226001, India",
1724681381-13,https://targetstudy.com/colleges/engineering-colleges-in-lucknow.html,,,Ansal Institute of Technology and Management - AITM - Courses,"(Toll Free No. 1800-419-5590) / phone_iphone 8960076013, 7379777730","Sector C, Pocket 9, Sushant Golf City, Sultanpur Road, Lucknow, Uttar Pradesh 226030, India",
1724681384-14,https://targetstudy.com/colleges/engineering-colleges-in-lucknow.html,,,Amity University - Lucknow,"(0522) 2399418 / phone_iphone 8176050073, 8176050074, 9795830055","Malhaur (Near Railway Station), Post Office: Chinhut,  Lucknow, Uttar Pradesh 226028, India",
1724681387-15,https://targetstudy.com/colleges/engineering-colleges-in-lucknow.html,,,Ambalika Institute of Management and Technology - Courses,(0522) 3996300 / phone_iphone 9651828006,"Maurawan Road, Mohanlalganj, Lucknow, Uttar Pradesh 227305, India",
